1	human	BU	Orchid	None	\N	wgEncodeEH000001	2011-04-20 09:41:32
2090	human	Broad	ChipSeq	K562	antibody=HDAC1_(SC-6298)	wgEncodeEH002090	2011-10-04 14:50:14
2091	human	Broad	ChipSeq	K562	antibody=HDAC2_(A300-705A)	wgEncodeEH002091	2011-10-04 14:50:14
2092	human	Broad	ChipSeq	K562	antibody=PHF8_(A301-772A)	wgEncodeEH002092	2011-10-04 14:50:14
2093	human	Broad	ChipSeq	K562	antibody=RBBP5_(A300-109A)	wgEncodeEH002093	2011-10-04 14:50:14
2094	human	Broad	ChipSeq	K562	antibody=SAP30_(39731)	wgEncodeEH002094	2011-10-04 14:50:14
2095	human	Broad	ChipSeq	H1-hESC	antibody=CHD1_(A301-218A)	wgEncodeEH002095	2011-10-04 14:50:13
2096	human	Broad	ChipSeq	H1-hESC	antibody=JARID1A_(ab26049)	wgEncodeEH002096	2011-10-04 14:50:13
2097	human	UW	5C	BJ	region=UW-5C-Gene-Regions	wgEncodeEH002097	2011-10-04 15:42:40
2098	human	UW	5C	Caco-2	region=UW-5C-Myc-Region	wgEncodeEH002098	2011-10-04 15:42:40
2099	human	UW	5C	GM06990	region=UW-5C-Gene-Regions	wgEncodeEH002099	2011-10-04 15:42:40
2100	human	UW	5C	GM12878	region=UW-5C-Myc-Region	wgEncodeEH002100	2011-10-04 15:42:40
2101	human	UW	5C	HepG2	region=UW-5C-Gene-Regions	wgEncodeEH002101	2011-10-04 15:42:40
2102	human	UW	5C	K562	region=UW-5C-Myc-Region	wgEncodeEH002102	2011-10-04 15:42:40
2103	human	UW	5C	LNCaP	region=UW-5C-Myc-Region	wgEncodeEH002103	2011-10-04 15:42:41
2104	human	UW	5C	MCF-7	region=UW-5C-Myc-Region	wgEncodeEH002104	2011-10-04 15:42:41
2105	human	UW	5C	None	region=UW-5C-Gene-Regions	\N	2012-05-13 18:37:27
2106	human	UW	5C	None	region=UW-5C-Myc-Region	\N	2012-05-13 18:37:11
2107	human	UW	5C	SK-N-SH_RA	region=UW-5C-Gene-Regions	wgEncodeEH002107	2011-10-04 15:42:41
2872	human	USC	ChipSeq	MCF-7	antibody=H3K27ac control=UCDavis	wgEncodeEH002872	2012-05-17 11:53:26
2108	mouse	Caltech-m	ChipSeq	C2C12	antibody=CTCF control=Control_32bp	wgEncodeEM002108	2011-10-25 09:09:22
2109	mouse	Caltech-m	ChipSeq	C2C12	antibody=E2F4 control=Control_50bp treatment=EqS_2.0pct_60hr	wgEncodeEM002109	2011-10-25 09:09:22
2110	mouse	Caltech-m	ChipSeq	C2C12	antibody=Input control=Control_32bp treatment=EqS_2.0pct_24hr	wgEncodeEM002110	2011-10-25 09:09:22
2111	mouse	Caltech-m	ChipSeq	C2C12	antibody=Input control=Control_32bp	wgEncodeEM002111	2011-10-25 09:09:22
2112	mouse	Caltech-m	ChipSeq	C2C12	antibody=Input control=Control_32bp treatment=EqS_2.0pct_60hr	wgEncodeEM002112	2011-10-25 09:09:22
2113	mouse	Caltech-m	ChipSeq	C2C12	antibody=Input control=Control_50bp	wgEncodeEM002113	2011-10-25 09:09:22
2114	mouse	Caltech-m	ChipSeq	C2C12	antibody=Max control=Control_50bp treatment=EqS_2.0pct_60hr	wgEncodeEM002114	2011-10-25 09:09:22
2115	mouse	Caltech-m	ChipSeq	C2C12	antibody=Max control=Control_50bp	wgEncodeEM002115	2011-10-25 09:09:22
2116	mouse	Caltech-m	ChipSeq	C2C12	antibody=NRSF control=Control_32bp treatment=EqS_2.0pct_60hr	wgEncodeEM002116	2011-10-25 09:09:22
2117	mouse	Caltech-m	ChipSeq	C2C12	antibody=Pol2 control=Control_32bp treatment=EqS_2.0pct_60hr	wgEncodeEM002117	2011-10-25 09:09:22
2118	mouse	Caltech-m	ChipSeq	C2C12	antibody=Pol2(phosphoS2) control=Control_32bp treatment=EqS_2.0pct_60hr	wgEncodeEM002118	2011-10-25 09:09:22
2119	mouse	Caltech-m	ChipSeq	C2C12	antibody=SRF control=Control_32bp treatment=EqS_2.0pct_24hr	wgEncodeEM002119	2011-10-25 09:09:22
2120	mouse	Caltech-m	ChipSeq	C2C12	antibody=TCF12 control=Control_50bp treatment=EqS_2.0pct_60hr	wgEncodeEM002120	2011-10-25 09:09:22
2121	mouse	Caltech-m	ChipSeq	C2C12	antibody=TCF3_(SC-349) control=Control_32bp treatment=EqS_2.0pct_5d	wgEncodeEM002121	2011-10-25 09:09:22
2122	mouse	Caltech-m	ChipSeq	C2C12	antibody=CEBPB control=Control_50bp treatment=EqS_2.0pct_60hr	wgEncodeEM002122	2011-10-25 09:09:22
2123	mouse	Caltech-m	ChipSeq	C2C12	antibody=CEBPB control=Control_50bp	wgEncodeEM002123	2011-10-25 09:09:22
2124	mouse	Caltech-m	ChipSeq	C2C12	antibody=FOSL1_(sc-605) control=Control_36bp	wgEncodeEM002124	2011-10-25 09:09:22
2125	mouse	Caltech-m	ChipSeq	C2C12	antibody=Input control=Control_36bp treatment=EqS_2.0pct_60hr	wgEncodeEM002125	2011-10-25 09:09:22
2126	mouse	Caltech-m	ChipSeq	C2C12	antibody=Input control=Control_50bp treatment=EqS_2.0pct_60hr	wgEncodeEM002126	2011-10-25 09:09:22
2127	mouse	Caltech-m	ChipSeq	C2C12	antibody=MyoD_(sc-32758) control=Control_32bp treatment=EqS_2.0pct_24hr	wgEncodeEM002127	2011-10-25 09:09:22
2128	mouse	Caltech-m	ChipSeq	C2C12	antibody=MyoD_(sc-32758) control=Control_32bp	wgEncodeEM002128	2011-10-25 09:09:22
2129	mouse	Caltech-m	ChipSeq	C2C12	antibody=MyoD_(sc-32758) control=Control_32bp treatment=EqS_2.0pct_60hr	wgEncodeEM002129	2011-10-25 09:09:22
2130	mouse	Caltech-m	ChipSeq	C2C12	antibody=MyoD_(sc-32758) control=Control_50bp treatment=EqS_2.0pct_7d	wgEncodeEM002130	2011-10-25 09:09:22
2131	mouse	Caltech-m	ChipSeq	C2C12	antibody=Myogenin_(sc-12732) control=Control_32bp	wgEncodeEM002131	2011-10-25 09:09:22
2132	mouse	Caltech-m	ChipSeq	C2C12	antibody=Myogenin_(sc-12732) control=Control_32bp treatment=EqS_2.0pct_60hr	wgEncodeEM002132	2011-10-25 09:09:22
2133	mouse	Caltech-m	ChipSeq	C2C12	antibody=Myogenin_(sc-12732) control=Control_50bp treatment=EqS_2.0pct_7d	wgEncodeEM002133	2011-10-25 09:09:22
2134	mouse	Caltech-m	ChipSeq	C2C12	antibody=USF-1 control=Control_50bp treatment=EqS_2.0pct_60hr	wgEncodeEM002134	2011-10-25 09:09:22
2135	mouse	Caltech-m	ChipSeq	C2C12	antibody=USF-1 control=Control_50bp	wgEncodeEM002135	2011-10-25 09:09:22
2136	mouse	Caltech-m	ChipSeq	C2C12	antibody=Myogenin_(sc-12732) control=Control_32bp treatment=EqS_2.0pct_24hr	wgEncodeEM002136	2011-10-25 09:09:22
2137	mouse	Caltech-m	ChipSeq	C2C12	antibody=Input control=Control_36bp	wgEncodeEM002137	2011-10-25 09:09:22
2138	mouse	Caltech-m	ChipSeq	C2C12	antibody=H3K27me3 control=Control_32bp	wgEncodeEM002138	2011-10-25 09:10:33
2139	mouse	Caltech-m	ChipSeq	C2C12	antibody=H3K36me3 control=Control_50bp treatment=EqS_2.0pct_60hr	wgEncodeEM002139	2011-10-25 09:10:33
2140	mouse	Caltech-m	ChipSeq	C2C12	antibody=H3K36me3 control=Control_50bp	wgEncodeEM002140	2011-10-25 09:10:33
2141	mouse	Caltech-m	ChipSeq	C2C12	antibody=H3K4me3 control=Control_50bp treatment=EqS_2.0pct_60hr	wgEncodeEM002141	2011-10-25 09:10:33
2142	mouse	Caltech-m	ChipSeq	C2C12	antibody=H3K4me3 control=Control_50bp	wgEncodeEM002142	2011-10-25 09:10:33
2143	mouse	Caltech-m	ChipSeq	C2C12	antibody=H3K27me3 control=Control_32bp treatment=EqS_2.0pct_60hr	wgEncodeEM002143	2011-10-25 09:10:33
2144	mouse	Caltech-m	ChipSeq	C2C12	antibody=H3K4me2_(ab32356) control=Control_50bp treatment=EqS_2.0pct_60hr	wgEncodeEM002144	2011-10-25 09:10:33
2145	mouse	Caltech-m	ChipSeq	C2C12	antibody=H3K79me2_(ab3594) control=Control_50bp treatment=EqS_2.0pct_60hr	wgEncodeEM002145	2011-10-25 09:10:33
2146	mouse	Caltech-m	ChipSeq	C2C12	antibody=H3K79me2_(ab3594) control=Control_50bp	wgEncodeEM002146	2011-10-25 09:10:33
2147	mouse	Caltech-m	ChipSeq	C2C12	antibody=H3K79me3_(ab2621) control=Control_50bp	wgEncodeEM002147	2011-10-25 09:10:33
2148	mouse	Caltech-m	ChipSeq	C2C12	antibody=H3ac_(06-599) control=Control_32bp treatment=EqS_2.0pct_24hr	wgEncodeEM002148	2011-10-25 09:10:33
2149	mouse	Caltech-m	ChipSeq	C2C12	antibody=H3ac_(06-599) control=Control_32bp	wgEncodeEM002149	2011-10-25 09:10:33
2150	human	UW	AffyExonArray	GM12864	\N	wgEncodeEH002150	2011-10-27 13:15:25
2151	human	UW	AffyExonArray	GM12865	\N	wgEncodeEH002151	2011-10-27 13:15:25
2152	human	UW	AffyExonArray	HA-h	\N	wgEncodeEH002152	2011-10-27 13:15:25
2153	human	UW	AffyExonArray	HBVP	\N	wgEncodeEH002153	2011-10-27 13:15:25
2154	human	UW	AffyExonArray	HBVSMC	\N	wgEncodeEH002154	2011-10-27 13:15:25
2155	human	UW	AffyExonArray	HFF	\N	wgEncodeEH002155	2011-10-27 13:15:25
2156	human	UW	AffyExonArray	HFF-Myc	\N	wgEncodeEH002156	2011-10-27 13:15:25
2157	human	UW	AffyExonArray	HMVEC-dAd	\N	wgEncodeEH002157	2011-10-27 13:15:25
2158	human	UW	AffyExonArray	HPAEC	\N	wgEncodeEH002158	2011-10-27 13:15:25
2159	human	UW	AffyExonArray	NHBE	\N	wgEncodeEH002159	2011-10-27 13:15:25
2160	human	UW	AffyExonArray	NT2-D1	\N	wgEncodeEH002160	2011-10-27 13:15:25
2161	human	UW	AffyExonArray	PrEC	\N	wgEncodeEH002161	2011-10-27 13:15:25
2162	human	UW	AffyExonArray	SK-N-MC	\N	wgEncodeEH002162	2011-10-27 13:15:25
2163	human	UW	AffyExonArray	WERI-Rb-1	\N	wgEncodeEH002163	2011-10-27 13:15:25
2164	human	Stanford	ChipSeq	K562	antibody=JunD control=IgG-rab	wgEncodeEH002164	2011-10-28 10:25:33
2165	human	UW	ChipSeq	HAc	antibody=Input	wgEncodeEH002165	2011-11-02 10:50:00
2166	human	UW	ChipSeq	CD20+_RO01778	antibody=H3K4me3	wgEncodeEH002166	2011-11-02 10:50:25
2167	human	UW	ChipSeq	Monocytes-CD14+_RO01746	antibody=H3K27me3	wgEncodeEH002167	2011-11-02 10:50:26
2168	human	UW	ChipSeq	Monocytes-CD14+_RO01746	antibody=H3K4me3	wgEncodeEH002168	2011-11-02 10:50:26
2169	human	UW	ChipSeq	Monocytes-CD14+_RO01746	antibody=Input	wgEncodeEH002169	2011-11-02 10:50:00
2170	human	UW	ChipSeq	CD20+_RO01778	antibody=Input	wgEncodeEH002170	2011-11-02 10:50:00
2171	human	UW	ChipSeq	CD20+_RO01794	antibody=H3K4me3	wgEncodeEH002171	2011-11-02 10:50:25
2172	human	UW	ChipSeq	CD20+_RO01794	antibody=Input	wgEncodeEH002172	2011-11-02 10:50:00
2173	human	UW	ChipSeq	SKMC	antibody=Input	wgEncodeEH002173	2011-11-02 10:50:00
2174	human	HudsonAlpha	MethylArray	A549	labVersion=Methyl450K treatment=EtOH_0.02pct	wgEncodeEH002174	2011-11-22 08:28:57
2175	human	HudsonAlpha	MethylArray	ECC-1	labVersion=Methyl450K	wgEncodeEH002175	2011-11-22 08:00:35
2176	human	HudsonAlpha	MethylArray	HEK293	labVersion=Methyl450K	wgEncodeEH002176	2011-11-22 08:00:36
2177	human	HudsonAlpha	MethylArray	HUVEC	labVersion=Methyl450K	wgEncodeEH002177	2011-11-22 08:00:36
2178	human	HudsonAlpha	MethylArray	Jurkat	labVersion=Methyl450K	wgEncodeEH002178	2011-11-22 08:00:36
2179	human	HudsonAlpha	MethylArray	LNCaP	labVersion=Methyl450K	wgEncodeEH002179	2011-11-22 08:00:36
2180	human	HudsonAlpha	MethylArray	MCF-7	labVersion=Methyl450K	wgEncodeEH002180	2011-11-22 08:00:36
2181	human	HudsonAlpha	MethylArray	NT2-D1	labVersion=Methyl450K	wgEncodeEH002181	2011-11-22 08:00:36
2182	human	HudsonAlpha	MethylArray	PFSK-1	labVersion=Methyl450K	wgEncodeEH002182	2011-11-22 08:00:36
2183	human	HudsonAlpha	MethylArray	SK-N-MC	labVersion=Methyl450K	wgEncodeEH002183	2011-11-22 08:00:36
2184	human	HudsonAlpha	MethylArray	T-47D	labVersion=Methyl450K treatment=DMSO_0.02pct_24hr	wgEncodeEH002184	2011-11-22 08:28:57
2185	human	HudsonAlpha	MethylArray	GM12878	labVersion=Methyl450K	wgEncodeEH002185	2011-11-22 08:00:35
2186	human	HudsonAlpha	MethylArray	GM12891	labVersion=Methyl450K	wgEncodeEH002186	2011-11-22 08:00:35
2187	human	HudsonAlpha	MethylArray	GM12892	labVersion=Methyl450K	wgEncodeEH002187	2011-11-22 08:00:35
2188	human	HudsonAlpha	MethylArray	H1-hESC	labVersion=Methyl450K	wgEncodeEH002188	2011-11-22 08:00:35
2189	human	HudsonAlpha	MethylArray	HEEpiC	labVersion=Methyl450K	wgEncodeEH002189	2011-11-22 08:00:36
2190	human	HudsonAlpha	MethylArray	HIPEpiC	labVersion=Methyl450K	wgEncodeEH002190	2011-11-22 08:00:36
2191	human	HudsonAlpha	MethylArray	HeLa-S3	labVersion=Methyl450K	wgEncodeEH002191	2011-11-22 08:00:36
2192	human	HudsonAlpha	MethylArray	HepG2	labVersion=Methyl450K	wgEncodeEH002192	2011-11-22 08:00:36
2193	human	HudsonAlpha	MethylArray	Hepatocytes	labVersion=Methyl450K	wgEncodeEH002193	2011-11-22 08:00:36
2194	human	HudsonAlpha	MethylArray	IMR90	labVersion=Methyl450K	wgEncodeEH002194	2011-11-22 08:00:36
2195	human	HudsonAlpha	MethylArray	K562	labVersion=Methyl450K	wgEncodeEH002195	2011-11-22 08:00:36
2196	human	HudsonAlpha	MethylArray	ProgFib	labVersion=Methyl450K	wgEncodeEH002196	2011-11-22 08:00:36
2197	human	HudsonAlpha	MethylArray	RPTEC	labVersion=Methyl450K	wgEncodeEH002197	2011-11-22 08:00:36
2198	human	HudsonAlpha	MethylArray	AG04449	labVersion=Methyl450K	wgEncodeEH002198	2011-11-22 08:00:35
2199	human	HudsonAlpha	MethylArray	AG04450	labVersion=Methyl450K	wgEncodeEH002199	2011-11-22 08:00:35
2200	human	HudsonAlpha	MethylArray	AG09309	labVersion=Methyl450K	wgEncodeEH002200	2011-11-22 08:00:35
2201	human	HudsonAlpha	MethylArray	AG09319	labVersion=Methyl450K	wgEncodeEH002201	2011-11-22 08:00:35
2202	human	HudsonAlpha	MethylArray	AG10803	labVersion=Methyl450K	wgEncodeEH002202	2011-11-22 08:00:35
2203	human	HudsonAlpha	MethylArray	BJ	labVersion=Methyl450K	wgEncodeEH002203	2011-11-22 08:00:35
2204	human	HudsonAlpha	MethylArray	CMK	labVersion=Methyl450K	wgEncodeEH002204	2011-11-22 08:00:35
2205	human	HudsonAlpha	MethylArray	Caco-2	labVersion=Methyl450K	wgEncodeEH002205	2011-11-22 08:00:35
2206	human	HudsonAlpha	MethylArray	GM06990	labVersion=Methyl450K	wgEncodeEH002206	2011-11-22 08:00:35
2207	human	HudsonAlpha	MethylArray	GM19239	labVersion=Methyl450K	wgEncodeEH002207	2011-11-22 08:00:35
2208	human	HudsonAlpha	MethylArray	HAEpiC	labVersion=Methyl450K	wgEncodeEH002208	2011-11-22 08:00:35
2209	human	HudsonAlpha	MethylArray	AoSMC	labVersion=Methyl450K	wgEncodeEH002209	2011-11-22 08:00:35
2210	human	HudsonAlpha	MethylArray	BE2_C	labVersion=Methyl450K	wgEncodeEH002210	2011-11-22 08:00:35
2211	human	HudsonAlpha	MethylArray	HCF	labVersion=Methyl450K	wgEncodeEH002211	2011-11-22 08:00:35
2212	human	HudsonAlpha	MethylArray	HCM	labVersion=Methyl450K	wgEncodeEH002212	2011-11-22 08:00:35
2213	human	HudsonAlpha	MethylArray	HCPEpiC	labVersion=Methyl450K	wgEncodeEH002213	2011-11-22 08:00:35
2214	human	HudsonAlpha	MethylArray	HCT-116	labVersion=Methyl450K	wgEncodeEH002214	2011-11-22 08:00:36
2215	human	HudsonAlpha	MethylArray	HL-60	labVersion=Methyl450K	wgEncodeEH002215	2011-11-22 08:00:36
2216	human	HudsonAlpha	MethylArray	HMEC	labVersion=Methyl450K	wgEncodeEH002216	2011-11-22 08:00:36
2217	human	HudsonAlpha	MethylArray	HNPCEpiC	labVersion=Methyl450K	wgEncodeEH002217	2011-11-22 08:00:36
2218	human	HudsonAlpha	MethylArray	HPAEpiC	labVersion=Methyl450K	wgEncodeEH002218	2011-11-22 08:00:36
2219	human	HudsonAlpha	MethylArray	HRCEpiC	labVersion=Methyl450K	wgEncodeEH002219	2011-11-22 08:00:36
2220	human	HudsonAlpha	MethylArray	HRE	labVersion=Methyl450K	wgEncodeEH002220	2011-11-22 08:00:36
2221	human	HudsonAlpha	MethylArray	HRPEpiC	labVersion=Methyl450K	wgEncodeEH002221	2011-11-22 08:00:36
2222	human	HudsonAlpha	MethylArray	MCF10A-Er-Src	labVersion=Methyl450K	wgEncodeEH002222	2011-11-22 08:00:36
2223	human	HudsonAlpha	MethylArray	NB4	labVersion=Methyl450K	wgEncodeEH002223	2011-11-22 08:00:36
2224	human	HudsonAlpha	MethylArray	NH-A	labVersion=Methyl450K	wgEncodeEH002224	2011-11-22 08:00:36
2225	human	HudsonAlpha	MethylArray	NHBE	labVersion=Methyl450K	wgEncodeEH002225	2011-11-22 08:00:36
2226	human	HudsonAlpha	MethylArray	NHDF-neo	labVersion=Methyl450K	wgEncodeEH002226	2011-11-22 08:00:36
2227	human	HudsonAlpha	MethylArray	PANC-1	labVersion=Methyl450K	wgEncodeEH002227	2011-11-22 08:00:36
2228	human	HudsonAlpha	MethylArray	PrEC	labVersion=Methyl450K	wgEncodeEH002228	2011-11-22 08:00:36
2229	human	HudsonAlpha	MethylArray	SAEC	labVersion=Methyl450K	wgEncodeEH002229	2011-11-22 08:00:36
2230	human	HudsonAlpha	MethylArray	SK-N-SH	labVersion=Methyl450K	wgEncodeEH002230	2011-11-22 08:00:36
2231	human	HudsonAlpha	MethylArray	SK-N-SH_RA	labVersion=Methyl450K	wgEncodeEH002231	2011-11-22 08:00:36
2232	human	HudsonAlpha	MethylArray	SKMC	labVersion=Methyl450K	wgEncodeEH002232	2011-11-22 08:00:36
2233	human	HudsonAlpha	MethylArray	U87	labVersion=Methyl450K	wgEncodeEH002233	2011-11-22 08:00:36
2234	human	HudsonAlpha	MethylArray	ovcar-3	labVersion=Methyl450K	wgEncodeEH002234	2011-11-22 08:00:36
2235	human	HudsonAlpha	MethylArray	MCF10A-Er-Src	labVersion=Methyl450K treatment=4OHTAM_1uM_36hr	wgEncodeEH002235	2011-11-22 08:22:33
2236	human	UW	RepliSeq	BJ	\N	wgEncodeEH002236	2011-12-02 16:14:48
2237	human	UW	RepliSeq	GM06990	\N	wgEncodeEH002237	2011-12-02 16:14:48
2238	human	UW	RepliSeq	GM12801	\N	wgEncodeEH002238	2011-12-02 16:14:48
2239	human	UW	RepliSeq	GM12812	\N	wgEncodeEH002239	2011-12-02 16:14:48
2240	human	UW	RepliSeq	GM12813	\N	wgEncodeEH002240	2011-12-02 16:14:48
2241	human	UW	RepliSeq	GM12878	\N	wgEncodeEH002241	2011-12-02 16:14:48
2242	human	UW	RepliSeq	HUVEC	\N	wgEncodeEH002242	2011-12-02 16:14:48
2243	human	UW	RepliSeq	HeLa-S3	\N	wgEncodeEH002243	2011-12-02 16:14:48
2244	human	UW	RepliSeq	HepG2	\N	wgEncodeEH002244	2011-12-02 16:14:48
2245	human	UW	RepliSeq	IMR90	\N	wgEncodeEH002245	2011-12-02 16:14:48
2246	human	UW	RepliSeq	K562	\N	wgEncodeEH002246	2011-12-02 16:14:48
2247	human	UW	RepliSeq	MCF-7	\N	wgEncodeEH002247	2011-12-02 16:14:48
2248	human	UW	RepliSeq	SK-N-SH_RA	\N	\N	2012-01-26 14:09:24
2249	human	UW	RepliSeq	NHEK	\N	wgEncodeEH002249	2011-12-02 16:14:48
2250	human	UW	RepliSeq	BG02ES	\N	wgEncodeEH002250	2011-12-02 16:14:48
2251	human	Sanger	Gencode	None	labExpId=V9	wgEncodeEH002251	2011-12-05 12:03:33
2252	human	Sanger	Gencode	None	labExpId=V10	wgEncodeEH002252	2011-12-06 09:08:19
2253	human	Duke	Combined	GM12891	composite=wgEncodeOpenChromSynth	wgEncodeEH002253	2011-12-13 16:35:03
2254	human	Duke	Combined	GM12892	composite=wgEncodeOpenChromSynth	wgEncodeEH002254	2011-12-13 16:35:03
2255	human	Duke	Combined	GM18507	composite=wgEncodeOpenChromSynth	wgEncodeEH002255	2011-12-13 16:35:03
2256	human	Duke	Combined	GM19239	composite=wgEncodeOpenChromSynth	wgEncodeEH002256	2011-12-13 16:35:03
2257	human	Duke	Combined	Gliobla	composite=wgEncodeOpenChromSynth	wgEncodeEH002257	2011-12-13 16:35:03
2258	human	Duke	Combined	HTR8svn	composite=wgEncodeOpenChromSynth	wgEncodeEH002258	2011-12-13 16:35:03
2259	human	Duke	Combined	HeLa-S3	composite=wgEncodeOpenChromSynth treatment=IFNa4h	wgEncodeEH002259	2011-12-13 16:35:03
2260	human	Duke	Combined	Medullo	composite=wgEncodeOpenChromSynth	wgEncodeEH002260	2011-12-13 16:35:03
2261	human	Duke	Combined	PanIslets	composite=wgEncodeOpenChromSynth	wgEncodeEH002261	2011-12-13 16:35:03
2262	human	Duke	Combined	Urothelia	composite=wgEncodeOpenChromSynth treatment=UT189	wgEncodeEH002262	2011-12-13 16:35:03
2263	human	HudsonAlpha	ChipSeq	HepG2	antibody=NRSF protocol=v041610.1	wgEncodeEH002263	2012-01-18 12:54:42
2264	human	HudsonAlpha	ChipSeq	HepG2	antibody=SP2_(SC-643) protocol=v042211.1	wgEncodeEH002264	2012-01-18 12:54:42
2265	human	HudsonAlpha	ChipSeq	PANC-1	antibody=Pol2-4H8 protocol=v041610.1	wgEncodeEH002265	2012-01-18 12:54:42
2266	human	HudsonAlpha	ChipSeq	PANC-1	antibody=Sin3Ak-20 protocol=v041610.1	wgEncodeEH002266	2012-01-18 12:54:42
2267	human	HudsonAlpha	ChipSeq	PFSK-1	antibody=NRSF protocol=v041610.1	wgEncodeEH002267	2012-01-18 12:54:42
2268	human	HudsonAlpha	ChipSeq	PFSK-1	antibody=Sin3Ak-20 protocol=v041610.1	wgEncodeEH002268	2012-01-18 12:54:42
2269	human	HudsonAlpha	ChipSeq	SK-N-SH	antibody=NRSF protocol=v041610.1	wgEncodeEH002269	2012-01-18 12:54:42
2270	human	HudsonAlpha	ChipSeq	SK-N-SH	antibody=Pol2-4H8 protocol=v041610.1	wgEncodeEH002270	2012-01-18 12:54:42
2271	human	HudsonAlpha	ChipSeq	SK-N-SH	antibody=Sin3Ak-20 protocol=v041610.1	wgEncodeEH002271	2012-01-18 12:54:42
2272	human	HudsonAlpha	ChipSeq	PFSK-1	antibody=Pol2-4H8 protocol=v041610.1	wgEncodeEH002272	2012-01-18 12:54:42
2273	human	HudsonAlpha	ChipSeq	A549	antibody=RevXlinkChromatin protocol=v042211.1 treatment=EtOH_0.02pct	wgEncodeEH002273	2012-01-26 14:13:21
2274	human	HudsonAlpha	ChipSeq	A549	antibody=SP1 protocol=v042211.1 treatment=EtOH_0.02pct	wgEncodeEH002274	2012-01-18 12:54:40
2275	human	HudsonAlpha	ChipSeq	A549	antibody=TAF1 protocol=v042211.1 treatment=EtOH_0.02pct	wgEncodeEH002275	2012-01-18 12:54:40
2276	human	HudsonAlpha	ChipSeq	H1-hESC	antibody=RevXlinkChromatin protocol=v042211.1	wgEncodeEH002276	2012-01-26 14:13:21
2277	human	HudsonAlpha	ChipSeq	HepG2	antibody=RevXlinkChromatin protocol=v042211.1	wgEncodeEH002277	2012-01-26 14:13:21
2278	human	HudsonAlpha	ChipSeq	HepG2	antibody=Pol2-4H8 protocol=v041610.2	wgEncodeEH002278	2012-01-18 12:54:42
2279	human	HudsonAlpha	ChipSeq	K562	antibody=CTCF_(SC-5916) protocol=PCR1x	wgEncodeEH002279	2012-01-18 12:54:42
2280	human	HudsonAlpha	ChipSeq	PANC-1	antibody=NRSF protocol=v041610.1	wgEncodeEH002280	2012-01-18 12:54:42
2281	human	HudsonAlpha	ChipSeq	SK-N-MC	antibody=Pol2-4H8 protocol=v041610.1	wgEncodeEH002281	2012-01-18 12:54:42
2282	human	HudsonAlpha	ChipSeq	A549	antibody=YY1_(SC-281) protocol=v042211.1 treatment=EtOH_0.02pct	wgEncodeEH002282	2012-01-18 12:54:40
2283	human	HudsonAlpha	ChipSeq	A549	antibody=RevXlinkChromatin protocol=v041610.1 treatment=EtOH_0.02pct	wgEncodeEH002283	2012-01-26 14:13:21
2284	human	HudsonAlpha	ChipSeq	A549	antibody=RevXlinkChromatin protocol=v042211.1 treatment=DEX_100nM	wgEncodeEH002284	2012-01-26 14:13:21
2285	human	HudsonAlpha	ChipSeq	PANC-1	antibody=RevXlinkChromatin protocol=v041610.1	wgEncodeEH002285	2012-01-26 14:13:21
2286	human	HudsonAlpha	ChipSeq	PFSK-1	antibody=RevXlinkChromatin protocol=v041610.1	wgEncodeEH002286	2012-01-26 14:13:21
2287	human	HudsonAlpha	ChipSeq	SK-N-SH	antibody=RevXlinkChromatin protocol=v041610.1	wgEncodeEH002287	2012-01-26 14:13:21
2288	human	HudsonAlpha	ChipSeq	A549	antibody=ATF3 protocol=v042211.1 treatment=EtOH_0.02pct	wgEncodeEH002288	2012-01-18 12:54:39
2289	human	HudsonAlpha	ChipSeq	A549	antibody=ELF1_(SC-631) protocol=v042211.1 treatment=EtOH_0.02pct	wgEncodeEH002289	2012-01-18 12:54:40
2290	human	HudsonAlpha	ChipSeq	A549	antibody=ETS1 protocol=v042211.1 treatment=EtOH_0.02pct	wgEncodeEH002290	2012-01-18 12:54:40
2291	human	HudsonAlpha	ChipSeq	A549	antibody=USF-1 protocol=v042211.1 treatment=EtOH_0.02pct	wgEncodeEH002291	2012-01-18 12:54:40
2292	human	HudsonAlpha	ChipSeq	A549	antibody=p300 protocol=v042211.1 treatment=EtOH_0.02pct	wgEncodeEH002292	2012-01-18 12:54:40
2293	human	HudsonAlpha	ChipSeq	A549	antibody=FOXA1_(SC-101058) protocol=v041610.2 treatment=DEX_100nM	wgEncodeEH002293	2012-01-18 12:54:40
2294	human	HudsonAlpha	ChipSeq	A549	antibody=GABP protocol=v042211.1 treatment=EtOH_0.02pct	wgEncodeEH002294	2012-01-18 12:54:40
2295	human	HudsonAlpha	ChipSeq	A549	antibody=ZBTB33 protocol=v042211.1 treatment=EtOH_0.02pct	wgEncodeEH002295	2012-01-18 12:54:40
2296	human	HudsonAlpha	ChipSeq	HepG2	antibody=ZBTB7A_(SC-34508) protocol=v041610.1	wgEncodeEH002296	2012-01-18 12:54:42
2297	human	HudsonAlpha	ChipSeq	HUVEC	antibody=Pol2 protocol=PCR1x	wgEncodeEH002297	2012-01-18 12:54:41
2298	human	HudsonAlpha	ChipSeq	HUVEC	antibody=Pol2-4H8 protocol=v041610.1	wgEncodeEH002298	2012-01-18 12:54:42
